Name                                         Stars  OpenIssues  Updated                      Description
ibhagwan/fzf-lua                             1222   4           2023-07-13T06:23:44Z         Improved fzf.vim written in lua
kevinhwang91/nvim-bqf                        1209   9           2023-06-24T13:21:53Z         Better quickfix window in Neovim, polish old quickfix window.                                                                                                                                                                      
goolord/alpha-nvim                           1163   23          2023-06-09T23:30:26Z         a lua powered greeter like vim-startify / dashboard-nvim
ray-x/go.nvim                                1150   32          2023-07-07T07:01:19Z         A feature-rich Go development plugin, leveraging gopls, treesitter AST, Dap, and various Go tools to enhance the development experience.                                                                                           
rose-pine/neovim                             1145   1           2023-06-21T14:34:13Z         Soho vibes for Neovim
michaelb/sniprun                             1125   10          2023-06-18T14:23:16Z         A neovim plugin to run lines/blocs of code (independently of the rest of the file), supporting multiples languages
ellisonleao/gruvbox.nvim                     1112   10          2023-04-23T13:28:31Z         Lua port of the most famous vim colorscheme
justinmk/vim-dirvish                         1112   16          2023-06-18T13:35:04Z         Directory viewer for Vim :zap:                                                                                                                                                                                                     
windwp/nvim-spectre                          1103   12          2023-07-09T17:06:08Z         Find the enemy and replace them with dark power.                                                                                                                                                                                   
mhartington/oceanic-next                     1084   4           2023-05-01T13:43:29Z         Oceanic Next theme for neovim
rktjmp/lush.nvim                             1082   12          2023-07-03T13:48:58Z         Create Neovim themes with real-time feedback, export anywhere.                                                                                                                                                                     
stevearc/dressing.nvim                       1077   6           2023-06-26T16:35:03Z         Neovim plugin to improve the default vim.ui interfaces
SmiteshP/nvim-navic                          1056   12          2023-07-08T17:44:25Z         Simple winbar/statusline plugin that shows your current code context
gelguy/wilder.nvim                           1048   46          2022-08-13T02:23:19Z         A more adventurous wildmenu
ray-x/navigator.lua                          1045   12          2023-06-02T03:07:47Z         Code analysis & navigation plugin for Neovim. Navigate codes like a breeze🎐  Exploring LSP and 🌲Treesitter symbols a piece of 🍰  Take control like a boss 🦍                                                                        
navarasu/onedark.nvim                        1043   45          2023-06-12T10:09:12Z         One dark and light colorscheme for neovim >= 0.5.0 written in lua based on Atom's One Dark and Light theme. Additionally, it comes with 5 color variant styles
jbyuki/instant.nvim                          1038   9           2022-06-25T21:08:27Z         collaborative editing in Neovim using built-in capabilities
onsails/lspkind.nvim                         1022   18          2023-05-05T08:32:23Z         vscode-like pictograms for neovim lsp completion items
folke/zen-mode.nvim                          992    28          2023-05-22T14:36:55Z         🧘  Distraction-free coding for Neovim
MunifTanjim/nui.nvim                         990    11          2023-06-18T16:54:14Z         UI Component Library for Neovim.                                                                                                                                                                                                   
stevearc/oil.nvim                            981    9           2023-06-30T07:59:08Z         Neovim file explorer: edit your filesystem like a buffer
windwp/nvim-ts-autotag                       972    19          2023-06-16T02:48:52Z         Use treesitter to auto close and auto rename html tag
CosmicNvim/CosmicNvim                        967    3           2023-05-22T15:19:50Z         CosmicNvim is a lightweight and opinionated Neovim config for web development, specifically designed to provide a 💫 COSMIC programming experience!                                                                                 
stevearc/aerial.nvim                         964    14          2023-07-11T16:59:33Z         Neovim plugin for a code outline window
ellisonleao/glow.nvim                        946    6           2023-05-05T17:17:26Z         A markdown preview directly in your neovim.                                                                                                                                                                                        
karb94/neoscroll.nvim                        938    22          2023-01-15T18:41:05Z         Smooth scrolling neovim plugin written in lua
shaunsingh/nyoom.nvim                        938    16          2023-06-06T23:13:36Z         A Neovim framework and doom emacs alternative for the stubborn martian hacker. Powered by fennel and the oxocarbon theme
ahmedkhalf/project.nvim                      930    53          2023-04-04T00:19:52Z         The superior project management solution for neovim.                                                                                                                                                                               
NTBBloodbath/doom-nvim                       920    30          2023-06-27T05:27:31Z         A Neovim configuration for the advanced martian hacker
renerocksai/telekasten.nvim                  873    46          2023-07-11T11:13:37Z         A Neovim (lua) plugin for working with a markdown zettelkasten / wiki and mixing it with a journal, based on telescope.nvim
danymat/neogen                               873    12          2023-06-09T00:35:04Z         A better annotation generator. Supports multiple languages and annotation conventions.                                                                                                                                             
chipsenkbeil/distant.nvim                    871    21          2023-04-02T20:06:03Z         🚧 (Alpha stage software) Edit files, run programs, and work with LSP on a remote machine from the comfort of your local environment 🚧                                                                                              
folke/twilight.nvim                          869    15          2023-05-22T14:37:50Z         🌅  Twilight is a Lua plugin for Neovim 0.5 that dims inactive portions of the code you're editing using TreeSitter.                                                                                                                
mhartington/formatter.nvim                   855    35          2023-04-30T21:12:01Z
folke/flash.nvim                             855    1           2023-07-13T11:34:18Z         Navigate your code with search labels, enhanced character motions and Treesitter integration
artart222/CodeArt                            854    7           2023-05-21T20:09:58Z         Use NeoVim as general purpose IDE
tomasiser/vim-code-dark                      849    16          2023-06-05T08:51:38Z         Dark color scheme for Vim and vim-airline, inspired by Dark+ in Visual Studio Code
Pocco81/TrueZen.nvim                         839    17          2023-06-09T12:35:40Z         🦝 Clean and elegant distraction-free writing for NeoVim
anuvyklack/hydra.nvim                        837    39          2023-02-06T10:11:00Z         Create custom submodes and menus
